Title,Source,Published Date,news,cleaned_news,processed_text,sentiment
West Asia conflict Final batch of SA WI T20 World Cup players leave India after travel chaos,The Times of India,2026-03-12,West Asia conflict Final batch of SA WI T20 World Cup players leave India after travel chaos,west asia conflict final batch of sa wi t world cup players leave india after travel chaos,west asia conflict final batch world cup players leave india travel chaos,Neutral
Oil minister Puri to apprise Parliament about Indias energy supply situation later today,The Times of India,2026-03-12,Oil minister Puri to apprise Parliament about Indias energy supply situation later today,oil minister puri to apprise parliament about indias energy supply situation later today,oil minister puri apprise parliament indias energy supply situation later today,Neutral
For Oksana Masters and Aaron Pike US Paralympic power couple 2026 Games are full circle,Yahoo Entertainment,2026-03-12,For Oksana Masters and Aaron Pike US Paralympic power couple 2026 Games are full circle,for oksana masters and aaron pike us paralympic power couple  games are full circle,oksana masters aaron pike paralympic power couple games full circle,Positive
Chinas Aging Population and the Implications for Chinas Security,Rand.org,2026-03-12,Chinas Aging Population and the Implications for Chinas Security,chinas aging population and the implications for chinas security,chinas aging population implications chinas security,Neutral
Monopoly fears rise as Dangote controls N144tn petrol market,The Punch,2026-03-12,Monopoly fears rise as Dangote controls N144tn petrol market,monopoly fears rise as dangote controls ntn petrol market,monopoly fears rise dangote controls ntn petrol market,Neutral
13 midcap stocks where FPIs steadily increased holdings for four quarters,BusinessLine,2026-03-12,13 midcap stocks where FPIs steadily increased holdings for four quarters, midcap stocks where fpis steadily increased holdings for four quarters,midcap stocks fpis steadily increased holdings four quarters,Positive
Early contrarian AI trend has global IT firms hiring more in India to deliver growth improve margins,Livemint,2026-03-12,Early contrarian AI trend has global IT firms hiring more in India to deliver growth improve margins,early contrarian ai trend has global it firms hiring more in india to deliver growth improve margins,early contrarian trend global firms hiring india deliver growth improve margins,Positive
France walks fine line as USIsrael war on Iran escalates,Al Jazeera English,2026-03-12,France walks fine line as USIsrael war on Iran escalates,france walks fine line as usisrael war on iran escalates,france walks fine line usisrael war iran escalates,Positive
The Galaxy S26 series is now officially on sale and the tradein values have plummeted  9to5Google,Slashdot.org,2026-03-12,The Galaxy S26 series is now officially on sale and the tradein values have plummeted  9to5Google,the galaxy s series is now officially on sale and the tradein values have plummeted  togoogle,galaxy series officially sale tradein values plummeted togoogle,Neutral
CES 2026 AI gets physical,ComputerWeekly.com,2026-03-12,CES 2026 AI gets physical,ces  ai gets physical,ces gets physical,Neutral
